2026-07-06 07:36:01 | INFO     | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-06 07:36:01 | INFO     | trading_bot | Placing MARKET BUY order: symbol=BTCUSDT qty=0.01 price=None stop_price=None
2026-07-06 07:36:01 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'quantity': 0.01, 'type': 'MARKET'}
2026-07-06 07:36:01 | INFO     | trading_bot | Order response: {'orderId': 111596405, 'symbol': 'BTCUSDT', 'status': 'FILLED', 'clientOrderId': 'testcli111596405', 'price': '43521.10', 'avgPrice': '43521.10', 'origQty': '0.01', 'executedQty': '0.01', 'side': 'BUY', 'type': 'MARKET', 'timeInForce': 'GTC', 'updateTime': 1783323361745}
2026-07-06 07:36:08 | INFO     | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-06 07:36:08 | INFO     | trading_bot | Placing LIMIT SELL order: symbol=BTCUSDT qty=0.01 price=65000.0 stop_price=None
2026-07-06 07:36:08 | INFO     | trading_bot | Sending order request: {'symbol': 'BTCUSDT', 'side': 'SELL', 'quantity': 0.01, 'type': 'LIMIT', 'price': 65000.0, 'timeInForce': 'GTC'}
2026-07-06 07:36:08 | INFO     | trading_bot | Order response: {'orderId': 222921016, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'testcli222921016', 'price': '65000.0', 'avgPrice': '0.00', 'origQty': '0.01', 'executedQty': '0', 'side': 'SELL', 'type': 'LIMIT', 'timeInForce': 'GTC', 'updateTime': 1783323368301}
2026-07-06 07:36:08 | INFO     | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-06 07:36:08 | WARNING  | trading_bot | Validation failed for order request: Price is required for LIMIT orders.
2026-07-06 07:36:08 | INFO     | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-06 07:36:08 | WARNING  | trading_bot | Validation failed for order request: Invalid symbol 'XX'. Expected a USDT-M pair like 'BTCUSDT'.
2026-07-06 07:36:08 | INFO     | trading_bot | Initialized Binance Futures Testnet client (base_url=https://testnet.binancefuture.com)
2026-07-06 07:36:08 | INFO     | trading_bot | Placing STOP_LIMIT BUY order: symbol=ETHUSDT qty=0.5 price=3200.0 stop_price=3210.0
2026-07-06 07:36:08 | INFO     | trading_bot | Sending order request: {'symbol': 'ETHUSDT', 'side': 'BUY', 'quantity': 0.5, 'type': 'STOP', 'price': 3200.0, 'stopPrice': 3210.0, 'timeInForce': 'GTC'}
2026-07-06 07:36:08 | INFO     | trading_bot | Order response: {'orderId': 154253573, 'symbol': 'ETHUSDT', 'status': 'NEW', 'clientOrderId': 'testcli154253573', 'price': '3200.0', 'avgPrice': '0.00', 'origQty': '0.5', 'executedQty': '0', 'side': 'BUY', 'type': 'STOP', 'timeInForce': 'GTC', 'updateTime': 1783323368517}
